Name	Beschreibung	Status  	Starttyp	Anmelden als
Hyper-V-Volumeschattenkopie-Anforderer	Koordiniert die Kommunikationen, die erforderlich sind, um den Volumeschattenkopie-Dienst zum Sichern von Anwendungen und Daten auf diesem virtuellen Computer vom Betriebssystem des physischen Computers aus zu verwenden.		Manuell (Start durch Auslöser)	Lokales System
IKE- und AuthIP IPsec-Schlüsselerstellungsmodule	Die IKEEXT-Diensthosts der Schlüsselerstellungsmodule für IKE (Internet Key Exchange) und Auth-IP (Authenticated Internet Protocol ). Diese Schlüsselerstellungsmodule werden zur Authentifizierung und zum Schlüsselaustausch in Internet Protocol Security (IPsec) verwendet. Wenn Sie den IKEEXT-Dienst anhalten oder deaktivieren, wird der IKE/AuthIP-Schlüsselaustausch mit Peercomputern deaktiviert. IPsec ist im Allgemeinen für die Verwendung von IKE/AuthIP konfiguriert, und das Anhalten oder Deaktivieren des IKEEXT-Diensts kann zu einem IPsec-Fehler führen und die Sicherheit des Systems gefährden. Es wird jedoch dringend empfohlen, den IKEEXT-Dienst auszuführen.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokales System
Infrarotüberwachungsdienst	Erkennt andere Infrarotgeräte in Reichweite und startet die Dateiübertragungsanwendung. Wenn Sie den Dienst anhalten, kann die Dateiübertragung nicht mehr ausgeführt werden.		Manuell	Lokales System
Infrastrukturdienst für Hintergrundaufgaben	Windows-Infrastrukturdienst, von dem gesteuert wird, welche Hintergrundaufgaben im System ausgeführt werden können.	Wird ausgeführt	Automatisch	Lokales System
Intel(R) Capability Licensing Service TCP IP Interface	Version: 1.42.17.0		Manuell	Lokales System
Intel(R) Content Protection HECI Service	Intel(R) Content Protection HECI Service - enables communication with the Content Protection FW		Manuell	Lokales System
Intel(R) Dynamic Application Loader Host Interface	Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
Intel(R) HD Graphics Control Panel Service	Service for Intel(R) HD Graphics Control Panel	Wird ausgeführt	Automatisch	Lokales System
Intel(R) Security Assist	Security Helper	Wird ausgeführt	Manuell	Lokales System
Intel(R) Security Assist Helper	Security Helper		Automatisch	Lokales System
Intelligenter Hintergrundübertragungsdienst	Überträgt Dateien im Hintergrund unter Verwendung von sich in Leerlauf befindender Netzwerkbandbreite. Falls dieser Dienst deaktiviert wird, können von BITS abhängige Anwendungen wie Windows Update oder MSN Explorer Programme und andere Informationen nicht automatisch heruntergeladen werden.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
IP-Hilfsdienst	Stellt Tunnelkonnektivität mithilfe von IPv6-Übergangstechnologien (IP6-zu-IP4, ISATAP, Portproxy und Teredo) und IP-HTTPS bereit. Wenn der Dienst beendet wird, verfügt der Computer nicht über die durch diese Technologien ermöglichten Konnektivitätsvorteile.	Wird ausgeführt	Automatisch	Lokales System
IPsec-Richtlinien-Agent	IPsec (Internet Protocol Security) unterstützt die Peerauthentifizierung auf Netzwerkebene, Datenursprungsauthentifizierung, Datenvertraulichkeit (Verschlüsselung) und Schutz vor Wiedergabeangriffen. Dieser Dienst erzwingt die IPsec-Richtlinien, die mit dem Snap-In "IP-Sicherheitsrichtlinien" oder mit dem Befehlszeilentool "netsh ipsec" erstellt wurden. Wenn Sie diesen Dienst beenden, können Probleme mit der Netzwerkkonnektivität auftreten, wenn die Richtlinie IPsec-Verbindungen erfordert. Zudem ist die Remoteverwaltung der Windows Defender Firewall nicht verfügbar, wenn dieser Dienst beendet wird.		Manuell (Start durch Auslöser)	Netzwerkdienst
Jugendschutz	Setzt Jugendschutzeinstellungen für Kinderkonten in Windows durch. Wenn dieser Dienst beendet oder deaktiviert wird, werden u. U. keine Jugendschutzeinstellungen durchgesetzt.		Manuell	Lokales System
Konfiguration für Remotedesktops	Der Remotedesktop-Konfigurationsdienst (RDCS, Remote Desktop Configuration Service) ist für alle Konfigurations- und Sitzungsverwaltungsaktivitäten im Zusammenhang mit den Remotedesktopdiensten und Remotedesktop zuständig, die den SYSTEM-Kontext erfordern. Dazu gehören die sitzungsspezifischen temporären Ordner, Remotedesktopthemen und Remotedesktopzertifikate.		Manuell	Lokales System
Konfigurationsdienst für die IP-Übersetzung	Konfiguriert und ermöglicht die Übersetzung von v4 in v6 und umgekehrt		Manuell (Start durch Auslöser)	Lokales System
Kontaktdaten_2424160	Indiziert Kontaktdaten für die schnelle Kontaktsuche. Wenn Sie diesen Dienst beenden oder deaktivieren, können Kontakte in den Suchergebnissen fehlen.	Wird ausgeführt	Manuell	Lokales System
Kryptografiedienste	Stellt drei Verwaltungsdienste bereit: den Katalogdatenbankendienst, der die Signaturen von Windows-Dateien bestätigt und die Installation neuer Programme ermöglicht; den geschützten Stammdienst, der diesem Computer vertrauenswürdige Zertifikate von Stammzertifizierungsstellen hinzufügt und diese vom Computer entfernt; und den automatischen Aktualisierungsdienst für die Stammzertifizierung, der Stammzertifikate vom Windows Update abruft und Szenarien wie SSL aktiviert. Wird dieser Dienst beendet, funktionieren diese Verwaltungsdienste nicht ordnungsgemäß. Wird dieser Dienst deaktiviert, können alle ausdrücklich von diesem Dienst abhängigen Dienste nicht gestartet werden.	Wird ausgeführt	Automatisch	Netzwerkdienst
KtmRm für Distributed Transaction Coordinator	Koordiniert Transaktionen zwischen dem Distributed Transaction Coordinator (MSDTC) und dem Kerneltransaktions-Manager (KTM). Wenn dieser Dienst nicht benötigt wird, sollten Sie ihn nicht starten. Wenn dieser Dienst benötigt wird, wird er von MSDTC und KTM automatisch gestartet. Wenn der Dienst deaktiviert ist, treten bei allen MSDTC-Transaktionen, die mit einem Kernelressourcen-Manager kommunizieren, Fehler auf, und Dienste, die von diesem explizit abhängig sind, können nicht gestartet werden.		Manuell (Start durch Auslöser)	Netzwerkdienst
Laufwerke optimieren	Unterstützt den Computer bei einer effizienteren Ausführung durch das Optimieren von Dateien auf Speicherlaufwerken.		Manuell	Lokales System
Leistungsindikator-DLL-Host	Ermöglicht Remotebenutzern und 64-Bit-Prozessen die Abfrage von Leistungsindikatoren, die von 32-Bit-DLLs bereitgestellt werden. Wenn dieser Dienst beendet wird, können nur lokale Benutzer und 32-Bit-Prozesse die von den 32-Bit-DLLs bereitgestellten Leistungsindikatoren abfragen.		Manuell	Lokaler Dienst
Leistungsprotokolle und -warnungen	"Leistungsprotokolle und -warnungen" sammelt Leistungsdaten von lokalen oder Remotecomputern basierend auf vorkonfigurierten Zeitplanparameter und schreibt die Daten dann in ein Protokoll oder löst eine Warnung aus. Wenn dieser Dienst beendet wird, werden keine Leistungsinformationen erfasst. Wenn dieser Dienst deaktiviert wird, können alle ausdrücklich von diesem Dienst abhängigen Dienste nicht gestartet werden.		Manuell	Lokaler Dienst
Lokaler Sitzungs-Manager	Windows-Kerndienst, der lokale Benutzersitzungen verwaltet. Ein Anhalten oder Deaktivieren dieses Diensts führt zu Systeminstabiliät.	Wird ausgeführt	Automatisch	Lokales System
Manager für heruntergeladene Karten	Windows-Dienst für den Anwendungszugriff auf heruntergeladene Karten. Dieser Dienst wird bei Bedarf von einer Anwendung gestartet, die auf heruntergeladene Karten zugreift. Wird dieser Dienst deaktiviert, können Apps nicht auf Karten zugreifen.	Wird ausgeführt	Automatisch (Verzögerter Start)	Netzwerkdienst
Manager-Dienst für den Funktionszugriff	Stellt Funktionen bereit, mit denen der Zugriff von UWP-Apps auf App-Funktionen verwaltet und der App-Zugriff auf bestimmte App-Funktionen überprüft wird.	Wird ausgeführt	Manuell	Lokales System
McAfee Activation Service	McAfee Activation Service		Manuell	Lokales System
McAfee AP Service	McAfee AP Service	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
McAfee CSP Service	McAfee Cloud Platform Service	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
McAfee Firewall Core Service	Provides firewall services to McAfee products		Manuell	Lokales System
McAfee Module Core Service	McAfee Module Core Service	Wird ausgeführt	Automatisch	Lokales System
McAfee OOBE Service2	McAfee OOBE Service2		Deaktiviert	Lokales System
McAfee PEF Service	McAfee PEF Service	Wird ausgeführt	Automatisch	Lokales System
McAfee Service Controller	Manages McAfee Services	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokales System
McAfee Validation Trust Protection Service	Provides validation trust protection services	Wird ausgeführt	Manuell	Lokales System
MessagingService_2424160	Dienst zur Unterstützung von SMS und zugehörigen Funktionen.		Manuell (Start durch Auslöser)	Lokales System
Microsoft iSCSI-Initiator-Dienst	Verwaltet Internet SCSI (iSCSI)-Sitzungen, die es zwischen diesem Computer und iSCSI-Remotezielgeräten gibt. Falls dieser Dienst angehalten wird, kann sich dieser Computer nicht an iSCSI-Zielen anmelden und auf diese zugreifen. Falls der Dienst deaktiviert wird, kann keiner der Dienste, die explizit von diesem Dienst abhängig sind, gestartet werden.		Manuell	Lokales System
Microsoft Office-Klick-und-Los-Dienst	?Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.?	Wird ausgeführt	Automatisch	Lokales System
Microsoft Passport	Stellt die Prozessisolation für kryptografische Schlüssel bereit, die zur Authentifizierung der Identitätsanbieter verwendet werden, die einem Benutzer zugeordnet sind. Wenn dieser Dienst deaktiviert wird, können diese Schlüssel nicht verwendet und verwaltet werden. Dies schließt die Anmeldung an Computern und die einmalige Anmeldung bei Apps und Websites ein. Der Dienst wird automatisch gestartet und beendet. Es wird empfohlen, diesen Dienst nicht neu zu konfigurieren.		Manuell (Start durch Auslöser)	Lokales System
Microsoft Passport-Container	Verwaltet lokale Benutzeridentitätsschlüssel, um Benutzer für Identitätsanbieter und virtuelle TPM-Smartcards zu authentifizieren. Wenn dieser Dienst deaktiviert wird, kann nicht auf lokale Benutzeridentitätsschlüssel und virtuelle TPM-Smartcards zugegriffen werden. Es wird empfohlen, diesen Dienst nicht neu zu konfigurieren.		Manuell (Start durch Auslöser)	Lokaler Dienst
Microsoft Store-Installationsdienst	Bietet Infrastrukturunterstützung für den Microsoft Store. Der Dienst wird bei Bedarf gestartet. Falls er deaktiviert ist, funktionieren Installationen nicht ordnungsgemäß.	Wird ausgeführt	Manuell	Lokales System
Microsoft Windows SMS-Routerdienst.	Leitet Nachrichten regelbasiert an die entsprechenden Clients weiter.		Manuell (Start durch Auslöser)	Lokaler Dienst
Microsoft-SMP für Speicherplätze	Hostdienst für den Microsoft-Verwaltungsanbieter für Speicherplätze. Wird dieser Dienst beendet oder deaktiviert, ist die Verwaltung von Speicherplätzen nicht mehr möglich.		Manuell	Netzwerkdienst
Microsoft-Softwareschattenkopie-Anbieter	Verwaltet softwarebasierte Volumeschattenkopien des Volumeschattenkopie-Dienstes. Softwarebasierte Volumeschattenkopien können nicht verwaltet werden, wenn dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Manuell	Lokales System
Natürliche Authentifizierung	Signalaggregatordienst, der Signale auf Grundlage von Zeit-, Netzwerk-, Geolocation-, Bluetooth- und CDF-Faktoren auswertet. Unterstützte Features sind: Geräteentsperrung, dynamische Sperre und Dynamo MDM-Richtlinien.		Manuell (Start durch Auslöser)	Lokales System
Net.Tcp-Portfreigabedienst	Ermöglicht es, TCP-Ports über das Protokoll "Net.Tcp" freizugeben.		Deaktiviert	Lokaler Dienst
Netzwerkeinrichtungsdienst	Der Netzwerkeinrichtungsdienst verwaltet die Installation von Netzwerktreibern und ermöglicht die Konfiguration von Netzwerkeinstellungen auf unterer Ebene. Wenn der Dienst beendet wird, werden aktuell ausgeführte Treiberinstallationen u.U. abgebrochen.		Manuell (Start durch Auslöser)	Lokales System
Netzwerkkonnektivitäts-Assistent	Stellt die DirectAccess-Statusbenachrichtigung für Benutzeroberflächenkomponenten bereit.		Manuell (Start durch Auslöser)	Lokales System
Netzwerklistendienst	Identifiziert die Netzwerke, mit denen der Computer eine Verbindung hergestellt hat, sammelt und speichert Eigenschaften für diese Netzwerke, und benachrichtigt Anwendungen, wenn sich diese Eigenschaften ändern.	Wird ausgeführt	Manuell	Lokaler Dienst
Netzwerkspeicher-Schnittstellendienst	Dieser Dienst stellt Netzwerkbenachrichtigungen (z. B. beim Hinzufügen/Löschen von Schnittstellen) für Benutzermodusclients bereit. Wenn Sie diesen Dienst beenden, wird die Netzwerkkonnektivität getrennt. Wenn dieser Dienst deaktiviert wird, können andere Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokaler Dienst
Netzwerkverbindungen	Verwaltet Objekte im Ordner "Netzwerk- und Wählverbindungen", in dem LAN- und Remoteverbindungen angezeigt werden.	Wird ausgeführt	Manuell	Lokales System
Netzwerkverbindungsbroker	Handelt Verbindungen aus, über die Windows Store-Apps Benachrichtigungen aus dem Internet empfangen können.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
NLA (Network Location Awareness)	Sammelt und speichert Konfigurationsinformationen für das Netzwerk und benachrichtigt Programme, wenn diese Informationen geändert werden. Wenn dieser Dienst beendet wird, sind die Konfigurationsinformationen möglicherweise nicht verfügbar. Wenn dieser Dienst deaktiviert wird, können Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Netzwerkdienst
Office  Source Engine	Saves installation files used for updates and repairs and is required for the downloading of Setup updates and Watson error reports.		Manuell	Lokales System
OpenSSH Authentication Agent	Agent to hold private keys used for public key authentication.		Deaktiviert	Lokales System
Peer Name Resolution-Protokoll	Aktiviert die serverlose Peernamensauflösung über das Internet mithilfe des Peer Name Resolution-Protokolls (PNRP). Bei Deaktivierung können einige Peer-zu-Peer-Anwendungen und Zusammenarbeitsanwendungen möglicherweise nicht verwendet werden, beispielsweise Remoteunterstützung.		Manuell	Lokaler Dienst
Peernetzwerk-Gruppenzuordnung	Aktiviert mithilfe der Peer-zu-Peer-Gruppierung die Kommunikation zwischen mehreren Parteien. Bei Deaktivierung können einige Anwendungen möglicherweise nicht verwendet werden, beispielsweise Heimnetzgruppe.		Manuell	Lokaler Dienst
Peernetzwerkidentitäts-Manager	Bietet Identitätsdienste für die Dienste Peer Name Resolution-Protokoll (PNRP) und Peer-zu-Peer-Gruppierung. Bei Deaktivierung können die Dienste Peer Name Resolution-Protokoll (PNRP) und Peer-zu-Peer-Gruppierung möglicherweise nicht verwendet werden, und einige Anwendungen können möglicherweise nicht ordnungsgemäß verwendet werden, beispielsweise Heimnetzgruppe und Remoteunterstützung.		Manuell	Lokaler Dienst
Plattformdienst für verbundene Geräte	Dieser Dienst wird für Szenarien in Verbindung mit der Plattform für verbundene Geräte verwendet.	Wird ausgeführt	Automatisch (Verzögerter Start, Start durch Auslöser)	Lokaler Dienst
Plug & Play	Ermöglicht dem Computer, Hardwareänderungen zu erkennen und sich ohne oder mit geringer Benutzerinteraktion darauf einzustellen. Beenden oder Deaktivieren dieses Dienstes wird die Systemstabilität beeinträchtigen.	Wird ausgeführt	Manuell	Lokales System
PNRP-Computernamenveröffentlichungs-Dienst	Dieser Dienst veröffentlicht einen Computernamen mit dem Peer Name Resolution-Protokoll. Die Konfiguration wird über den netsh-Kontext "p2p pnrp peer" verwaltet. 		Manuell	Lokaler Dienst
PrintWorkflow_2424160	Druckworkflow		Manuell	Lokales System
Programmkompatibilitäts-Assistent-Dienst	Dieser Dienst bietet Unterstützung für den Programmkompatibilitäts-Assistenten (Program Compatibility Assistant, PCA). Mit dem PCA werden die vom Benutzer installierten und ausgeführten Programme überwacht. Wenn dieser Dienst beendet wird, wird der PCA nicht ordnungsgemäß ausgeführt.	Wird ausgeführt	Manuell	Lokales System
RAS-Verbindungsverwaltung	Verwaltet Einwähl- und VPN-Verbindungen zwischen diesem Computer und dem Internet oder anderen Remotenetzwerken. Wenn dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokales System
Realtek Audio Service	For cooperation with Realtek audio driver.	Wird ausgeführt	Automatisch	Lokales System
Realtek Bluetooth Device Manager Service		Wird ausgeführt	Automatisch	Lokales System
Registrierungsdienst für die Geräteverwaltung	Führt Geräteregistrierungsaktivitäten für die Geräteverwaltung aus.		Manuell	Lokales System
Remotedesktopdienste	Ermöglicht Benutzern das Herstellen einer interaktiven Verbindung mit einem Remotecomputer. Remotedesktop und Remotedesktop-Hostserver können nur zusammen mit diesem Dienst verwendet werden. Wenn Sie die Remoteverwendung dieses Computers verhindern möchten, deaktivieren Sie die Kontrollkästchen auf der Registerkarte "Remote" in den Systemsteuerungsoptionen.		Manuell	Netzwerkdienst
Remoteprozeduraufruf (RPC)	Der RPCSS-Dienst wird als Dienststeuerungs-Manager für COM- und DCOM-Server verwendet. Von ihm werden Objektaktivierungsanforderungen, Objektexporterauflösungen und die verteilte Garbage Collection für COM- und DCOM-Server ausgeführt. Wenn dieser Dienst beendet oder deaktiviert wird, werden Programme, für die COM oder DCOM verwendet wird, nicht ordnungsgemäß ausgeführt. Es wird dringend empfohlen, den RPCSS-Dienst auszuführen.	Wird ausgeführt	Automatisch	Netzwerkdienst
Remoteregistrierung	Ermöglicht Remotebenutzern, Registrierungseinstellungen dieses Computers zu verändern. Wenn dieser Dienst beendet wird, kann die Registrierung nur von lokalen Benutzern dieses Computers verändert werden. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Deaktiviert	Lokaler Dienst
Richtlinie zum Entfernen der Scmartcard	Lässt eine Konfiguration des Systems zu, bei der der Benutzerdesktop bei Entfernen der Smartcard gesperrt wird.		Manuell	Lokales System
Routing und RAS	Bietet Routingdienste in LAN- und WAN-Netzwerkumgebungen.		Deaktiviert	Lokales System
RPC-Endpunktzuordnung	Löst RPC-Schnittstellen-IDs für den Transport von Endpunkten auf. Wenn dieser Dienst angehalten oder deaktiviert wird, können Programme, für die Remoteprozeduraufruf-Dienste (Remote Procedure Call, RPC) verwendet werden, nicht ordnungsgemäß ausgeführt werden.	Wird ausgeführt	Automatisch	Netzwerkdienst
RPC-Locator	Unter Windows 2003 und früheren Windows-Versionen wird mit dem RPC-Locatordienst (Remote Procedure Call) die RPC-Namensdienstdatenbank verwaltet. Unter Windows Vista und höheren Windows-Versionen stellt dieser Dienst keine Funktionalität bereit und ist nur für Zwecke der Anwendungskompatibilität vorhanden.		Manuell	Netzwerkdienst
Sekundäre Anmeldung	Aktiviert das Starten von Prozessen mit verschiedenen Anmeldeinformationen. Wenn dieser Dienst beendet wird, wird dieser Typ von Anmeldezugriff nicht mehr verfügbar sein. Wenn dieser Dienst deaktiviert wird, können alle Dienste, die explizit von diesem Dienst abhängen, nicht mehr gestartet werden.		Manuell	Lokales System
Sensordatendienst	Liefert Daten von verschiedenen Sensoren.		Manuell (Start durch Auslöser)	Lokales System
Sensordienst	Ein Sensordienst, der verschiedene Sensorfunktionen verwaltet. Er verwaltet SDO (Simple Device Orientation) und den Verlauf für Sensoren und lädt den SDO-Sensor, der Änderungen der Geräteausrichtung meldet. Wenn der Dienst beendet oder deaktiviert wird, wird der SDO-Sensor nicht geladen, und es findet keine automatische Drehung statt. Die Sammlung von Verlaufsdaten von den Sensoren wird ebenfalls beendet.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Sensorüberwachungsdienst	Überwacht verschiedene Sensoren, um Daten verfügbar zu machen und eine Anpassung an den System- und Benutzerstatus vorzunehmen. Wird dieser Dienst beendet oder deaktiviert, wird die Anzeigehelligkeit nicht auf die Lichtbedingungen der Umgebung angepasst. Das Beenden des Diensts kann auch andere Systemfeatures betreffen.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Server	Unterstützt Datei-, Drucker- und Named-Piped-Freigabe für diesen Computer über das Netzwerk. Diese Funktionen sind nicht mehr verfügbar, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokales System
Shared PC Account Manager	Manages profiles and accounts on a SharedPC configured device		Deaktiviert	Lokales System
Shellhardwareerkennung	Zeigt Meldungen für Hardwareereignisse für automatische Wiedergabe an.	Wird ausgeführt	Automatisch	Lokales System
Sicherheitscenter	Der WSCSVC-Dienst überwacht und meldet Sicherheitsintegritätseinstellungen auf dem Computer. Zu diesen Einstellungen zählen Firewall (ein/aus), Antivirensoftware (ein/aus/nicht aktuell), Antispyware (ein/aus/nicht aktuell), Windows Update (Updates automatisch/manuell herunterladen und installieren), Benutzerkontensteuerung (ein/aus) und Interneteinstellungen (empfohlen/nicht empfohlen). Der Dienst stellt COM-APIs für unabhängige Softwarehersteller bereit, sodass sie den Status ihrer Produkte registrieren und aufzeichnen können. Der Dienst wird auf der Benutzeroberfläche von "Sicherheit und Wartung" verwendet, um auf der Taskleiste Warnungen und unter "Sicherheit und Wartung" eine grafische Ansicht der Sicherheitsintegritätsstatus bereitzustellen. Der Netzwerkzugriffsschutz (Network Access Protection, NAP) meldet dem NAP-Netzwerkrichtlinienserver mithilfe des Dienstes die Sicherheitsintegritätsstatus von Clients, um Netzwerkquarantäne-Entscheidungen zu treffen. Der Dienst verfügt auch ü	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokaler Dienst
Sicherheitskonto-Manager	Durch den Start dieses Diensts wird anderen Diensten signalisiert, dass die Sicherheitskontenverwaltung (SAM) bereit ist, Anforderungen anzunehmen. Wenn Sie diesen Dienst deaktivieren, wird verhindert, dass andere Dienste im System benachrichtigt werden, wenn die Sicherheitskontenverwaltung bereit ist. Dies kann wiederum dazu führen, dass diese Dienste nicht korrekt gestartet werden. Dieser Dienst sollte nicht deaktiviert werden.	Wird ausgeführt	Automatisch	Lokales System
Smartcard	Verwaltet den Zugriff auf Smartcards, die von diesem Computer gelesen werden. Wenn dieser Dienst beendet wird, wird dieser Computer keine Smartcards mehr lesen können. Falls dieser Dienst deaktiviert wird, können die von diesem Dienst explizit abhängigen Dienste nicht gestartet werden.		Manuell (Start durch Auslöser)	Lokaler Dienst
Smartcard-Geräteaufzählungsdienst	Erstellt Softwaregeräteknoten für alle Smartcardleser, die einer bestimmten Sitzung zur Verfügung stehen. Wird dieser Dienst deaktiviert, können von WinRT-APIs keine Smartcardleser aufgezählt werden.		Manuell (Start durch Auslöser)	Lokales System
SNMP-Trap	Empfängt Trap-Nachrichten, die von lokalen oder Remote-SNMP-Agent generiert wurden, und leitet die Nachrichten an SNMP-Verwaltungsprogramme, die auf diesem Computer ausgeführt werden, weiter. SNMP-basierte Programme auf diesem Computer empfangen keine SNMP-Trap-Nachrichten, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Manuell	Lokaler Dienst
Software Protection	Aktiviert das Herunterladen, die Installation und die Durchsetzung digitaler Lizenzen für Windows und Windows-Anwendungen. Wenn der Dienst deaktiviert wird, werden das Betriebssystem und lizenzierte Anwendungen in einem Benachrichtigungsmodus ausgeführt. Es wird dringend empfohlen, den Softwareschutzdienst nicht zu deaktivieren.		Automatisch (Verzögerter Start, Start durch Auslöser)	Netzwerkdienst
Speicherdienst	Stellt Unterstützungsdienste für Speichereinstellungen und externe Speichererweiterung bereit.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Sprachumgebungsdienst	Stellt Infrastrukturunterstützung für die Bereitstellung und Konfigurierung lokalisierter Windows-Ressourcen bereit. Dieser Dienst wird auf Anforderung gestartet. Wenn er deaktiviert ist, werden keine zusätzlichen Windows-Sprachen für das System bereitgestellt, und Windows funktioniert möglicherweise nicht ordnungsgemäß.		Manuell	Lokales System
SSDP-Suche	Sucht nach Netzwerkgeräten und -diensten, die das SSDP-Suchprotokoll verwenden, z. B. UPnP-Geräte. Kündigt zudem SSDP-Geräte und -dienste an, die auf dem lokalen Computer ausgeführt werden. Wenn dieser Dienst gestoppt wird, werden SSDP-basierte Geräte nicht entdeckt. Wenn dieser Dienst deaktiviert ist, können alle Dienste, die explizit von diesem Dienst abhängen, nicht gestartet werden.	Wird ausgeführt	Manuell	Lokaler Dienst
SSTP-Dienst	Unterstützt SSTP (Secure Socket Tunneling-Protokoll), um über VPN eine Verbindung mit Remotecomputern herzustellen. Wenn dieser Dienst deaktiviert ist, können Benutzer SSTP nicht für den Zugriff auf Remoteserver verwenden.	Wird ausgeführt	Manuell	Lokaler Dienst
Standardsammlungsdienst des Microsoft(R)-Diagnose-Hubs	Standardsammlungsdienst des Diagnose-Hubs. Sofern aktiviert, sammelt dieser Dienst ETW-Echtzeitereignisse und verarbeitet sie.		Manuell	Lokales System
StateRepository-Dienst	Bietet die erforderliche Infrastrukturunterstützung für das Anwendungsmodell.	Wird ausgeführt	Manuell	Lokales System
Storage Tiers Management	Optimiert die Verteilung der Daten in den Speicherstufen in allen mehrstufigen Speicherplätzen im System.		Manuell	Lokales System
Stromversorgung	Verwaltet die Energierichtlinie und die Zustellung der Energierichtlinienbenachrichtigung.	Wird ausgeführt	Automatisch	Lokales System
Synchronisierungshost_2424160	Dieser Dienst synchronisiert E-Mail-, Kontakt-, Kalender- und verschiedene andere Benutzerdaten. Wenn dieser Dienst nicht ausgeführt wird, funktionieren E-Mail-Programme und andere Anwendungen, die von dieser Funktionalität abhängig sind, nicht ordnungsgemäß.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
SynTPEnh Caller Service		Wird ausgeführt	Automatisch	Lokales System
SysMain	Verwaltet und verbessert die Systemleistung im Zeitablauf.	Wird ausgeführt	Automatisch	Lokales System
Systemereignissebroker	Koordiniert die Ausführung der Hintergrundvorgänge für WinRT-Anwendungen. Wird dieser Dienst beendet oder deaktiviert, werden die Hintergrundvorgänge unter Umständen nicht ausgelöst.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokales System
TCP/IP-NetBIOS-Hilfsdienst	Bietet Unterstützung für den NetBIOS-über-TCP/IP-Dienst (NetBT) und die NetBIOS-Namensauflösung für Clients im Netzwerk, so dass Benutzer Daten gemeinsam nutzen, drucken und sich am Netzwerk anmelden können. Diese Funktionen sind nicht mehr verfügbar, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Telefondienst	Verwaltet den Telefoniestatus des Geräts.		Manuell (Start durch Auslöser)	Lokaler Dienst
Telefonie	Bietet Telefonie-API-Unterstützung (TAPI) für Programme, die lokale und über das LAN auf Servern, die diesen Dienst ebenfalls ausführen, angebundene Telefoniegeräte steuern.		Manuell	Netzwerkdienst
Übermittlungsoptimierung	Führt Aufgaben zur Optimierung der Inhaltsübermittlung aus.	Wird ausgeführt	Automatisch (Verzögerter Start, Start durch Auslöser)	Netzwerkdienst
Überwachung verteilter Verknüpfungen (Client)	Hält Verknüpfungen für NTFS-Dateien auf einem Computer oder zwischen Computern in einem Netzwerk aufrecht.	Wird ausgeführt	Automatisch	Lokales System
Unterstützung in der Systemsteuerung unter Lösungen für Probleme	Dieser Dienst bietet Unterstützung für das Anzeigen, Senden und Löschen von Problemberichten auf Systemebene für das Applet "Lösungen für Probleme" in der Systemsteuerung.		Manuell	Lokales System
Update Orchestrator Service	Verwaltet Windows-Updates. Falls beendet, können auf Ihren Geräten keine aktuellen Updates heruntergeladen und installiert werden.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
